Sr no.,Stock Name,Entry Price,Exit Price,Qty,P&L,Entry Date,Exit Date,Exit Reason
1,PSUBNKBEES,28.30,27.03,3533,-4486.91,01 June 2022,13 June 2022,Rebalance
2,NIFTYBEES,171.87,194.09,556,12354.32,13 June 2022,16 August 2022,Rebalance
3,GOLDBEES,43.52,43.85,2297,758.01,01 June 2022,29 August 2022,Rebalance
4,LOWVOLIETF,13.47,13.98,7422,3725.84,01 June 2022,19 September 2022,Rebalance
5,PVTBANIETF,20.82,22.14,4982,6586.20,19 September 2022,22 May 2023,Rebalance
6,CPSEETF,35.08,45.34,2850,29241.00,01 June 2022,24 July 2023,Rebalance
7,FMCGIETF,43.73,54.40,2468,26326.16,16 August 2022,31 July 2023,Rebalance
8,AUTOBEES,140.31,162.56,786,17488.50,22 May 2023,03 October 2023,Rebalance
9,HEALTHIETF,96.52,97.28,1391,1057.16,31 July 2023,16 October 2023,Rebalance
10,MID150BEES,155.43,183.36,870,24299.10,16 October 2023,05 February 2024,Rebalance
11,INFRAIETF,80.92,89.95,1972,17807.16,05 February 2024,10 June 2024,Rebalance
12,ICICIB22,48.42,111.34,2065,129929.80,01 June 2022,01 July 2024,Rebalance
13,PSUBNKBEES,32.52,81.67,3097,152217.55,29 August 2022,01 July 2024,Rebalance
14,MAKEINDIA,148.89,153.22,1621,7018.93,01 July 2024,02 September 2024,Rebalance
15,ALPHA,32.00,54.88,4039,92412.32,24 July 2023,07 October 2024,Rebalance
16,AUTOBEES,254.15,257.95,698,2652.40,10 June 2024,21 October 2024,Rebalance
17,JUNIORBEES,767.87,741.01,314,-8434.04,01 July 2024,04 November 2024,Rebalance
18,CPSEETF,52.88,87.59,2416,83859.36,03 October 2023,18 November 2024,Rebalance
19,PHARMABEES,23.50,22.67,10587,-8787.21,02 September 2024,16 December 2024,Rebalance
20,HEALTHIETF,147.53,137.75,1502,-14689.56,07 October 2024,17 February 2025,Rebalance
21,TNIDETF,92.67,86.88,2511,-14538.69,04 November 2024,24 February 2025,Rebalance
22,ITBEES,44.49,40.56,4048,-15908.64,21 October 2024,03 March 2025,Rebalance
23,LIQUIDCASE,107.32,108.28,1530,1468.80,03 March 2025,28 April 2025,Rebalance
24,SILVERBEES,87.27,94.55,2750,20020.00,16 December 2024,26 May 2025,Rebalance
25,LTGILTBEES,27.56,28.94,7509,10362.42,17 February 2025,26 May 2025,Rebalance
26,GILT5YBEES,59.53,62.40,3664,10515.68,24 February 2025,26 May 2025,Rebalance
27,PVTBANIETF,27.67,28.37,8504,5952.80,26 May 2025,30 June 2025,Rebalance
28,BANKBEES,569.80,575.55,412,2369.00,26 May 2025,18 August 2025,Rebalance
29,BFSI,26.92,27.21,6155,1784.95,28 April 2025,25 August 2025,Rebalance
30,HDFCSML250,179.04,171.79,1350,-9787.50,30 June 2025,25 August 2025,Rebalance
31,TNIDETF,95.21,93.32,2097,-3963.33,25 August 2025,01 September 2025,Rebalance
32,MODEFENCE,83.30,86.58,2352,7714.56,01 September 2025,29 September 2025,Rebalance
33,AUTOBEES,260.88,283.55,765,17342.55,25 August 2025,19 January 2026,Rebalance
34,FINIETF,29.51,32.66,7974,25118.10,26 May 2025,23 February 2026,Rebalance
35,PSUBNKBEES,82.53,94.14,2467,28641.87,29 September 2025,04 May 2026,Rebalance
36,ICICIB22,127.24,121.12,2046,-12521.52,23 February 2026,11 May 2026,Rebalance
37,GOLDBEES,62.90,116.43,3364,180074.92,18 November 2024,29 June 2026,Rebalance
38,SILVERBEES,110.06,206.50,2155,207828.20,18 August 2025,03 August 2026,EOP
39,METALIETF,11.65,12.99,18624,24956.16,19 January 2026,03 August 2026,EOP
40,MODEFENCE,98.62,102.24,2356,8528.71,04 May 2026,03 August 2026,EOP
41,MOCAPITAL,55.12,52.90,4495,-9978.89,11 May 2026,03 August 2026,EOP
42,PHARMABEES,25.90,27.34,15124,21778.56,29 June 2026,03 August 2026,EOP


Sr no.,Date,Unrealised PL,Realised PL,Total PL
0,01 June 2022,0.00,0.00,0.00
1,06 June 2022,-1152.21,0.00,-1152.21
2,13 June 2022,-8449.57,-4486.91,-12936.48
3,20 June 2022,-28562.04,-4486.91,-33048.95
4,27 June 2022,-16163.76,-4486.91,-20650.67
5,04 July 2022,-14771.38,-4486.91,-19258.29
6,11 July 2022,-8996.52,-4486.91,-13483.43
7,18 July 2022,-5206.30,-4486.91,-9693.21
8,25 July 2022,2802.28,-4486.91,-1684.63
9,01 August 2022,18431.79,-4486.91,13944.88
10,08 August 2022,23152.22,-4486.91,18665.31
11,15 August 2022,18191.60,7867.41,26059.01
12,22 August 2022,13020.12,7867.41,20887.53
13,29 August 2022,16146.10,8625.42,24771.52
14,05 September 2022,27053.96,8625.42,35679.38
15,12 September 2022,36287.57,8625.42,44912.99
16,19 September 2022,30454.16,12351.26,42805.42
17,26 September 2022,1779.29,12351.26,14130.56
18,03 October 2022,-757.31,12351.26,11593.95
19,10 October 2022,11226.65,12351.26,23577.91
20,17 October 2022,15640.89,12351.26,27992.15
21,24 October 2022,37896.07,12351.26,50247.33
22,31 October 2022,46039.46,12351.26,58390.73
23,07 November 2022,60030.55,12351.26,72381.82
24,14 November 2022,56656.82,12351.26,69008.09
25,21 November 2022,61848.90,12351.26,74200.16
26,28 November 2022,74653.70,12351.26,87004.97
27,05 December 2022,84292.38,12351.26,96643.65
28,12 December 2022,93197.78,12351.26,105549.04
29,19 December 2022,92767.24,12351.26,105118.51
30,26 December 2022,75112.15,12351.26,87463.41
31,02 January 2023,86069.63,12351.26,98420.90
32,09 January 2023,82805.49,12351.26,95156.75
33,16 January 2023,80602.07,12351.26,92953.33
34,23 January 2023,85630.02,12351.26,97981.28
35,30 January 2023,57154.49,12351.26,69505.75
36,06 February 2023,69651.63,12351.26,82002.89
37,13 February 2023,65948.75,12351.26,78300.01
38,20 February 2023,66410.32,12351.26,78761.59
39,27 February 2023,60828.63,12351.26,73179.90
40,06 March 2023,81707.23,12351.26,94058.49
41,13 March 2023,65732.66,12351.26,78083.93
42,20 March 2023,59592.86,12351.26,71944.13
43,27 March 2023,53331.38,12351.26,65682.64
44,03 April 2023,69920.06,12351.26,82271.33
45,10 April 2023,72979.59,12351.26,85330.86
46,17 April 2023,88659.14,12351.26,101010.41
47,24 April 2023,92340.59,12351.26,104691.86
48,01 May 2023,110668.79,12351.26,123020.06
49,08 May 2023,112259.86,12351.26,124611.13
50,15 May 2023,113096.33,12351.26,125447.60
51,22 May 2023,102779.92,18937.47,121717.38
52,29 May 2023,113234.84,18937.47,132172.31
53,05 June 2023,118705.21,18937.47,137642.68
54,12 June 2023,123342.56,18937.47,142280.03
55,19 June 2023,130431.89,18937.47,149369.36
56,26 June 2023,124432.60,18937.47,143370.07
57,03 July 2023,146313.78,18937.47,165251.25
58,10 July 2023,155902.67,18937.47,174840.14
59,17 July 2023,161677.04,18937.47,180614.51
60,24 July 2023,141183.64,48178.47,189362.10
61,31 July 2023,124081.43,74504.62,198586.05
62,07 August 2023,113439.67,74504.62,187944.29
63,14 August 2023,112855.95,74504.62,187360.57
64,21 August 2023,117301.59,74504.62,191806.21
65,28 August 2023,118649.92,74504.62,193154.54
66,04 September 2023,134083.99,74504.62,208588.61
67,11 September 2023,159963.63,74504.62,234468.25
68,18 September 2023,171603.21,74504.62,246107.83
69,25 September 2023,162191.79,74504.62,236696.41
70,02 October 2023,156988.50,91993.12,248981.62
71,09 October 2023,133300.73,91993.12,225293.85
72,16 October 2023,147032.77,93050.28,240083.05
73,23 October 2023,116767.23,93050.28,209817.51
74,30 October 2023,123851.13,93050.28,216901.41
75,06 November 2023,142173.43,93050.28,235223.71
76,13 November 2023,165943.04,93050.28,258993.32
77,20 November 2023,169895.23,93050.28,262945.51
78,27 November 2023,172100.17,93050.28,265150.45
79,04 December 2023,214006.48,93050.28,307056.76
80,11 December 2023,235658.40,93050.28,328708.68
81,18 December 2023,260295.42,93050.28,353345.70
