Sr no.,Stock Name,Entry Price,Exit Price,Qty,P&L,Entry Date,Exit Date,Exit Reason
1,PSUBNKBEES,29.08,27.03,3438,-7047.90,06 January 2022,13 June 2022,Rebalance
2,NIFTYBEES,191.92,194.09,521,1130.57,06 January 2022,16 August 2022,Rebalance
3,JUNIORBEES,446.91,447.21,223,66.90,06 January 2022,22 August 2022,Rebalance
4,GOLDBEES,44.19,43.85,2112,-718.08,13 June 2022,29 August 2022,Rebalance
5,PVTBANIETF,19.46,22.14,5125,13755.50,22 August 2022,22 May 2023,Rebalance
6,CPSEETF,30.81,45.34,3245,47149.85,06 January 2022,24 July 2023,Rebalance
7,FMCGIETF,43.73,54.40,2312,24662.10,16 August 2022,31 July 2023,Rebalance
8,AUTOBEES,140.31,162.56,808,17978.00,22 May 2023,03 October 2023,Rebalance
9,HEALTHIETF,96.52,97.28,1303,990.28,31 July 2023,16 October 2023,Rebalance
10,MID150BEES,155.43,183.36,815,22762.95,16 October 2023,05 February 2024,Rebalance
11,INFRAIETF,80.92,89.95,1847,16678.41,05 February 2024,10 June 2024,Rebalance
12,ICICIB22,46.12,111.34,2168,141396.96,06 January 2022,01 July 2024,Rebalance
13,PSUBNKBEES,32.52,81.67,2848,139979.20,29 August 2022,01 July 2024,Rebalance
14,MAKEINDIA,148.89,153.22,1591,6889.03,01 July 2024,02 September 2024,Rebalance
15,ALPHA,32.00,54.88,4601,105270.88,24 July 2023,07 October 2024,Rebalance
16,AUTOBEES,254.15,257.95,654,2485.20,10 June 2024,21 October 2024,Rebalance
17,JUNIORBEES,767.87,741.01,308,-8272.88,01 July 2024,04 November 2024,Rebalance
18,CPSEETF,52.88,87.59,2484,86219.64,03 October 2023,18 November 2024,Rebalance
19,PHARMABEES,23.50,22.67,10398,-8630.34,02 September 2024,16 December 2024,Rebalance
20,HEALTHIETF,147.53,137.75,1711,-16733.58,07 October 2024,17 February 2025,Rebalance
21,TNIDETF,92.67,86.88,2462,-14254.98,04 November 2024,24 February 2025,Rebalance
22,ITBEES,44.49,40.56,3794,-14910.42,21 October 2024,03 March 2025,Rebalance
23,LIQUIDCASE,107.32,108.28,1434,1376.64,03 March 2025,28 April 2025,Rebalance
24,SILVERBEES,87.27,94.55,2701,19663.28,16 December 2024,26 May 2025,Rebalance
25,LTGILTBEES,27.56,28.94,8552,11801.76,17 February 2025,26 May 2025,Rebalance
26,GILT5YBEES,59.53,62.40,3593,10311.91,24 February 2025,26 May 2025,Rebalance
27,PVTBANIETF,27.67,28.37,8759,6131.30,26 May 2025,30 June 2025,Rebalance
28,BANKBEES,569.80,575.55,425,2443.75,26 May 2025,18 August 2025,Rebalance
29,BFSI,26.92,27.21,5768,1672.72,28 April 2025,25 August 2025,Rebalance
30,HDFCSML250,179.04,171.79,1389,-10070.25,30 June 2025,25 August 2025,Rebalance
31,TNIDETF,95.21,93.32,2077,-3925.53,25 August 2025,01 September 2025,Rebalance
32,MODEFENCE,83.30,86.58,2328,7635.84,01 September 2025,29 September 2025,Rebalance
33,AUTOBEES,260.88,283.55,758,17183.86,25 August 2025,19 January 2026,Rebalance
34,FINIETF,29.51,32.66,8212,25867.80,26 May 2025,23 February 2026,Rebalance
35,PSUBNKBEES,82.53,94.14,2442,28351.62,29 September 2025,04 May 2026,Rebalance
36,ICICIB22,127.24,121.12,2107,-12894.84,23 February 2026,11 May 2026,Rebalance
37,GOLDBEES,62.90,116.43,3460,185213.80,18 November 2024,29 June 2026,Rebalance
38,SILVERBEES,110.06,206.55,2222,214400.79,18 August 2025,03 August 2026,EOP
39,METALIETF,11.65,12.96,18455,24176.05,19 January 2026,03 August 2026,EOP
40,MODEFENCE,98.62,103.10,2332,10447.36,04 May 2026,03 August 2026,EOP
41,MOCAPITAL,55.12,52.85,4630,-10510.11,11 May 2026,03 August 2026,EOP
42,PHARMABEES,25.90,27.22,15554,20531.27,29 June 2026,03 August 2026,EOP


Sr no.,Date,Unrealised PL,Realised PL,Total PL
0,06 January 2022,0.00,0.00,0.00
1,10 January 2022,8659.61,0.00,8659.61
2,17 January 2022,18319.74,0.00,18319.74
3,24 January 2022,-6834.10,0.00,-6834.10
4,31 January 2022,16481.47,0.00,16481.47
5,07 February 2022,18759.33,0.00,18759.33
6,14 February 2022,-636.67,0.00,-636.67
7,21 February 2022,878.31,0.00,878.31
8,28 February 2022,-4277.35,0.00,-4277.35
9,07 March 2022,-15008.23,0.00,-15008.23
10,14 March 2022,2320.32,0.00,2320.32
11,21 March 2022,5742.18,0.00,5742.18
12,28 March 2022,11022.67,0.00,11022.67
13,04 April 2022,31303.21,0.00,31303.21
14,11 April 2022,43464.91,0.00,43464.91
15,18 April 2022,37620.24,0.00,37620.24
16,25 April 2022,22838.63,0.00,22838.63
17,02 May 2022,21583.95,0.00,21583.95
18,09 May 2022,3841.59,0.00,3841.59
19,16 May 2022,-17155.12,0.00,-17155.12
20,23 May 2022,-10927.27,0.00,-10927.27
21,30 May 2022,-2370.63,0.00,-2370.63
22,06 June 2022,-1156.37,0.00,-1156.37
23,13 June 2022,-10784.87,-7047.90,-17832.77
24,20 June 2022,-32551.13,-7047.90,-39599.03
25,27 June 2022,-19698.00,-7047.90,-26745.90
26,04 July 2022,-19040.48,-7047.90,-26088.38
27,11 July 2022,-10368.37,-7047.90,-17416.27
28,18 July 2022,-5386.68,-7047.90,-12434.58
29,25 July 2022,2879.02,-7047.90,-4168.88
30,01 August 2022,19393.29,-7047.90,12345.39
31,08 August 2022,23532.53,-7047.90,16484.63
32,15 August 2022,31549.78,-5917.33,25632.45
33,22 August 2022,25914.21,-5850.43,20063.78
34,29 August 2022,31952.14,-6568.51,25383.63
35,05 September 2022,45872.22,-6568.51,39303.71
36,12 September 2022,54947.56,-6568.51,48379.05
37,19 September 2022,56910.44,-6568.51,50341.93
38,26 September 2022,27323.47,-6568.51,20754.96
39,03 October 2022,25056.05,-6568.51,18487.54
40,10 October 2022,37585.74,-6568.51,31017.23
41,17 October 2022,41974.93,-6568.51,35406.42
42,24 October 2022,63824.16,-6568.51,57255.65
43,31 October 2022,72177.63,-6568.51,65609.12
44,07 November 2022,85839.39,-6568.51,79270.88
45,14 November 2022,82067.30,-6568.51,75498.79
46,21 November 2022,86811.17,-6568.51,80242.66
47,28 November 2022,99637.27,-6568.51,93068.76
48,05 December 2022,109101.29,-6568.51,102532.78
49,12 December 2022,117133.81,-6568.51,110565.30
50,19 December 2022,116813.89,-6568.51,110245.38
51,26 December 2022,99000.82,-6568.51,92432.31
52,02 January 2023,110190.50,-6568.51,103621.99
53,09 January 2023,106613.80,-6568.51,100045.29
54,16 January 2023,104409.50,-6568.51,97840.99
55,23 January 2023,110377.33,-6568.51,103808.82
56,30 January 2023,82015.61,-6568.51,75447.10
57,06 February 2023,94289.70,-6568.51,87721.19
58,13 February 2023,91083.79,-6568.51,84515.28
59,20 February 2023,91932.95,-6568.51,85364.44
60,27 February 2023,86961.59,-6568.51,80393.08
61,06 March 2023,107525.35,-6568.51,100956.84
62,13 March 2023,91845.69,-6568.51,85277.18
63,20 March 2023,85841.25,-6568.51,79272.74
64,27 March 2023,79191.22,-6568.51,72622.71
65,03 April 2023,96015.44,-6568.51,89446.93
66,10 April 2023,99444.23,-6568.51,92875.72
67,17 April 2023,114806.50,-6568.51,108237.99
68,24 April 2023,118307.96,-6568.51,111739.45
69,01 May 2023,136643.22,-6568.51,130074.71
70,08 May 2023,138541.73,-6568.51,131973.22
71,15 May 2023,139506.66,-6568.51,132938.15
72,22 May 2023,122051.26,7186.99,129238.25
73,29 May 2023,132294.05,7186.99,139481.04
74,05 June 2023,137442.18,7186.99,144629.17
75,12 June 2023,142736.11,7186.99,149923.10
76,19 June 2023,149805.57,7186.99,156992.56
77,26 June 2023,143933.44,7186.99,151120.43
78,03 July 2023,165622.72,7186.99,172809.71
79,10 July 2023,174941.20,7186.99,182128.19
80,17 July 2023,180449.59,7186.99,187636.58
81,24 July 2023,142483.26,54336.84,196820.10
82,31 July 2023,127649.93,78998.94,206648.87
83,07 August 2023,116928.14,78998.94,195927.08
84,14 August 2023,116116.84,78998.94,195115.78
85,21 August 2023,120512.09,78998.94,199511.03
86,28 August 2023,122210.57,78998.94,201209.51
87,04 September 2023,138586.99,78998.94,217585.93
88,11 September 2023,164851.87,78998.94,243850.81
89,18 September 2023,175055.68,78998.94,254054.62
90,25 September 2023,165547.83,78998.94,244546.77
91,02 October 2023,159780.21,96976.94,256757.15
92,09 October 2023,136260.82,96976.94,233237.76
93,16 October 2023,150802.46,97967.22,248769.68
94,23 October 2023,120775.44,97967.22,218742.66
95,30 October 2023,127439.97,97967.22,225407.19
96,06 November 2023,146224.98,97967.22,244192.20
97,13 November 2023,170496.51,97967.22,268463.73
98,20 November 2023,175079.41,97967.22,273046.63
99,27 November 2023,177165.77,97967.22,275132.99
100,04 December 2023,219895.03,97967.22,317862.25
101,11 December 2023,241609.13,97967.22,339576.35
102,18 December 2023,266587.92,97967.22,364555.14
103,25 December 2023,264375.58,97967.22,362342.80
104,01 January 2024,281158.43,97967.22,379125.65
105,08 January 2024,288818.58,97967.22,386785.80
106,15 January 2024,309923.95,97967.22,407891.17
107,22 January 2024,299267.90,97967.22,397235.12
108,29 January 2024,338442.66,97967.22,436409.88
109,05 February 2024,357454.39,120730.17,478184.56
110,12 February 2024,332773.86,120730.17,453504.03
111,19 February 2024,386279.03,120730.17,507009.20
112,26 February 2024,387573.66,120730.17,508303.83
113,04 March 2024,405302.84,120730.17,526033.01
114,11 March 2024,401767.69,120730.17,522497.86
115,18 March 2024,343556.82,120730.17,464286.99
116,25 March 2024,369490.91,120730.17,490221.08
117,01 April 2024,399597.97,120730.17,520328.14
118,08 April 2024,421823.10,120730.17,542553.27
119,15 April 2024,407516.61,120730.17,528246.78
120,22 April 2024,410481.61,120730.17,531211.78
121,29 April 2024,448353.00,120730.17,569083.17
122,06 May 2024,438798.20,120730.17,559528.37
123,13 May 2024,407848.48,120730.17,528578.65
124,20 May 2024,471582.72,120730.17,592312.89
125,27 May 2024,492806.88,120730.17,613537.05
126,03 June 2024,551503.02,120730.17,672233.19
127,10 June 2024,463698.57,137408.58,601107.15
128,17 June 2024,500590.92,137408.58,637999.50
129,24 June 2024,485571.12,137408.58,622979.70
130,01 July 2024,206786.01,418784.74,625570.75
