Date,ALPHA,AUTOBEES,BANKBEES,BFSI,CPSEETF,FINIETF,FMCGIETF,GILT5YBEES,GOLDBEES,HDFCSML250,HEALTHIETF,ICICIB22,INFRAIETF,ITBEES,JUNIORBEES,LIQUIDCASE,LOWVOLIETF,LTGILTBEES,MAKEINDIA,METALIETF,MID150BEES,MOCAPITAL,MODEFENCE,NIFTYBEES,PHARMABEES,PSUBNKBEES,PVTBANIETF,SILVERBEES,TNIDETF
01-Jun-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-Jun-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-Jun-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
20-Jun-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
27-Jun-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
04-Jul-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
11-Jul-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
18-Jul-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
25-Jul-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
01-Aug-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
08-Aug-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
15-Aug-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4486.91,0.0,0.0,0.0
22-Aug-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12354.32,0.0,-4486.91,0.0,0.0,0.0
29-Aug-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12354.32,0.0,-4486.91,0.0,0.0,0.0
05-Sep-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12354.32,0.0,-4486.91,0.0,0.0,0.0
12-Sep-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12354.32,0.0,-4486.91,0.0,0.0,0.0
19-Sep-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3725.84,0.0,0.0,0.0,0.0,0.0,0.0,12354.32,0.0,-4486.91,0.0,0.0,0.0
26-Sep-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3725.84,0.0,0.0,0.0,0.0,0.0,0.0,12354.32,0.0,-4486.91,0.0,0.0,0.0
