ETF,06-Jan-2022,10-Jan-2022,17-Jan-2022,24-Jan-2022,31-Jan-2022,07-Feb-2022,14-Feb-2022,21-Feb-2022,28-Feb-2022,07-Mar-2022,14-Mar-2022,21-Mar-2022,28-Mar-2022,04-Apr-2022,11-Apr-2022,18-Apr-2022,25-Apr-2022,02-May-2022,09-May-2022,16-May-2022,23-May-2022,30-May-2022,06-Jun-2022,13-Jun-2022,20-Jun-2022,27-Jun-2022,04-Jul-2022,11-Jul-2022,18-Jul-2022,25-Jul-2022,01-Aug-2022,08-Aug-2022,15-Aug-2022,16-Aug-2022,22-Aug-2022,29-Aug-2022,05-Sep-2022,12-Sep-2022,19-Sep-2022,26-Sep-2022,03-Oct-2022,10-Oct-2022,17-Oct-2022,24-Oct-2022,31-Oct-2022,07-Nov-2022,14-Nov-2022,21-Nov-2022,28-Nov-2022,05-Dec-2022,12-Dec-2022,19-Dec-2022,26-Dec-2022,02-Jan-2023,09-Jan-2023,16-Jan-2023,23-Jan-2023,30-Jan-2023,06-Feb-2023,13-Feb-2023,20-Feb-2023,27-Feb-2023,06-Mar-2023,13-Mar-2023,20-Mar-2023,27-Mar-2023,03-Apr-2023,10-Apr-2023,17-Apr-2023,24-Apr-2023,01-May-2023,08-May-2023,15-May-2023,22-May-2023,29-May-2023,05-Jun-2023,12-Jun-2023,19-Jun-2023,26-Jun-2023,03-Jul-2023,10-Jul-2023,17-Jul-2023,24-Jul-2023,31-Jul-2023,07-Aug-2023,14-Aug-2023,21-Aug-2023,28-Aug-2023,04-Sep-2023,11-Sep-2023,18-Sep-2023,25-Sep-2023,02-Oct-2023,03-Oct-2023,09-Oct-2023,16-Oct-2023,23-Oct-2023,30-Oct-2023,06-Nov-2023,13-Nov-2023,20-Nov-2023,27-Nov-2023,04-Dec-2023,11-Dec-2023,18-Dec-2023,25-Dec-2023,01-Jan-2024,08-Jan-2024,15-Jan-2024,22-Jan-2024,29-Jan-2024,05-Feb-2024,12-Feb-2024,19-Feb-2024,26-Feb-2024,04-Mar-2024,11-Mar-2024,18-Mar-2024,25-Mar-2024,01-Apr-2024,08-Apr-2024,15-Apr-2024,22-Apr-2024,29-Apr-2024,06-May-2024,13-May-2024,20-May-2024,27-May-2024,03-Jun-2024,10-Jun-2024,17-Jun-2024,24-Jun-2024,01-Jul-2024,08-Jul-2024,15-Jul-2024,22-Jul-2024,29-Jul-2024,05-Aug-2024,12-Aug-2024,19-Aug-2024,26-Aug-2024,02-Sep-2024,09-Sep-2024,16-Sep-2024,23-Sep-2024,30-Sep-2024,07-Oct-2024,14-Oct-2024,21-Oct-2024,28-Oct-2024,04-Nov-2024,11-Nov-2024,18-Nov-2024,25-Nov-2024,02-Dec-2024,09-Dec-2024,16-Dec-2024,23-Dec-2024,30-Dec-2024,06-Jan-2025,13-Jan-2025,20-Jan-2025,27-Jan-2025,03-Feb-2025,10-Feb-2025,17-Feb-2025,24-Feb-2025,03-Mar-2025,10-Mar-2025,17-Mar-2025,24-Mar-2025,31-Mar-2025,07-Apr-2025,14-Apr-2025,21-Apr-2025,28-Apr-2025,05-May-2025,12-May-2025,19-May-2025,26-May-2025,02-Jun-2025,09-Jun-2025,16-Jun-2025,23-Jun-2025,30-Jun-2025,07-Jul-2025,14-Jul-2025,21-Jul-2025,28-Jul-2025,04-Aug-2025,11-Aug-2025,18-Aug-2025,25-Aug-2025,01-Sep-2025,08-Sep-2025,15-Sep-2025,22-Sep-2025,29-Sep-2025,06-Oct-2025,13-Oct-2025,20-Oct-2025,27-Oct-2025,03-Nov-2025,10-Nov-2025,17-Nov-2025,24-Nov-2025,01-Dec-2025,08-Dec-2025,15-Dec-2025,22-Dec-2025,29-Dec-2025,05-Jan-2026,12-Jan-2026,19-Jan-2026,26-Jan-2026,02-Feb-2026,09-Feb-2026,16-Feb-2026,23-Feb-2026,02-Mar-2026,09-Mar-2026,16-Mar-2026,23-Mar-2026,30-Mar-2026,06-Apr-2026,13-Apr-2026,20-Apr-2026,27-Apr-2026,04-May-2026,11-May-2026,18-May-2026,25-May-2026,01-Jun-2026,08-Jun-2026,15-Jun-2026,22-Jun-2026,29-Jun-2026,06-Jul-2026,13-Jul-2026,20-Jul-2026,27-Jul-2026,03-Aug-2026
ALPHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.89,2438.52,1564.34,2484.54,3864.84,10490.27,16977.68,13572.95,11686.54,11686.54,15781.43,10306.25,14999.25,9432.05,9248.0,14631.18,20796.52,24615.34,24615.34,32805.13,36485.93,42099.16,42099.16,40902.89,44951.77,46792.16,46792.16,55994.16,60871.23,53923.73,61055.27,62113.5,61975.48,60135.07,50426.96,50426.96,66116.37,72005.66,67496.66,68094.8,74536.2,77066.75,69567.12,69567.12,90547.68,98737.46,93906.41,93906.41,102602.3,102556.29,114104.8,117095.45,107387.34,115439.09,105915.02,110884.09,114610.91,116497.32,118475.75,112448.43,120500.18,124319.02,120316.16,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88,105270.88
AUTOBEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.77,2646.53,5499.57,6339.89,6358.63,6689.76,9856.47,12349.39,13647.28,14385.31,15258.68,12880.49,12481.18,13291.03,13675.81,17503.22,21028.85,22570.02,19763.44,19763.44,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17978.0,17766.76,17766.76,19978.86,20066.49,19981.21,21032.05,19936.0,27740.39,16620.56,20511.79,21133.87,24933.81,25781.47,21935.29,24159.02,30659.64,32127.23,23985.78,28356.59,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20463.2,20731.98,22561.88,34850.03,31476.94,34387.66,28316.07,31772.55,30362.68,34092.03,34751.51,31681.59,31636.12,36866.31,35789.96,40914.03,37548.53,37480.29,39163.05,37017.92,47789.09,40603.27,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06,37647.06
BANKBEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,1581.01,6213.49,1776.49,2159.0,8274.76,6693.74,6307.01,6923.26,3438.26,1691.51,884.0,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75,2443.75
BFSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-461.44,1442.0,1384.32,2422.56,1384.32,4383.68,2134.17,1961.12,6229.44,4268.32,4152.96,5075.84,2884.0,1961.12,1730.4,3460.8,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72,1672.72
CPSEETF,-0.0,1654.95,4575.45,1914.55,6165.5,5711.2,3115.2,2823.15,5029.75,11097.9,8566.8,7852.9,10383.99,13304.5,18236.9,20573.3,17133.6,15543.55,16452.15,10319.11,11000.55,10189.3,13823.7,11617.1,2044.35,5224.44,2011.9,3991.35,6068.15,7431.05,12558.15,13304.5,13304.5,16419.7,14375.36,18528.95,20086.55,20735.55,21417.0,12136.3,13758.8,17263.4,17587.9,20086.55,23331.55,26122.25,23428.9,23266.65,25797.74,27452.7,25246.1,25538.15,21319.65,24889.15,22552.74,22877.25,26998.4,22228.25,22195.8,23883.19,25830.2,27971.9,31444.05,30048.7,28848.05,25213.66,29918.9,31703.66,33975.15,33293.7,33293.7,38518.15,38355.9,37771.8,37642.0,36181.75,39394.3,40919.44,40238.0,43385.65,44196.9,43839.95,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,47149.85,44467.13,49733.21,46404.65,47547.29,50801.33,56514.53,57359.09,57359.09,66599.57,71468.21,75591.65,75591.65,82646.21,85627.02,89253.65,89253.65,100406.81,112503.9,102071.08,117148.96,117546.41,123632.21,121297.26,105921.29,105921.29,117919.02,124228.38,124774.84,123135.41,130587.41,132599.45,125743.6,125743.6,147677.33,160892.21,140399.21,140399.21,148149.29,149142.9,163152.65,171449.21,163177.48,170902.72,164568.53,171399.53,171225.65,173212.84,170927.57,156669.41,160618.96,163053.29,167549.33,154110.9,158905.02,153216.65,139778.21,142659.65,143876.81,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49,133369.49
FINIETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545.72,15767.04,8212.0,7390.8,15684.92,9936.51,7801.39,9936.51,1313.92,1970.88,1642.39,7637.16,4188.12,-1970.88,2463.6,8622.6,9608.04,3695.39,9608.04,13057.08,19216.08,20283.64,21679.69,25292.96,25128.72,20119.39,27099.61,23157.86,22665.12,23979.04,23486.31,28413.53,22090.29,24553.88,24553.88,10265.0,25539.31,24800.23,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8,25867.8
FMCGIETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,154.91,-11.56,1969.83,2295.82,1629.96,2385.99,1604.53,843.88,723.65,2973.23,3169.76,4362.75,2552.45,2191.78,3172.07,5726.83,8036.51,7426.15,4767.34,3377.84,4582.39,3063.4,3347.78,3643.71,8075.82,6434.3,6848.15,5726.83,7241.18,5816.99,6418.11,6434.3,7261.99,8045.76,9920.79,10662.94,10662.94,14403.76,16785.12,15723.91,19578.02,20599.92,19832.33,23071.45,22227.57,24484.08,24315.31,26446.97,24960.35,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1,24662.1
GILT5YBEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,359.3,1006.04,1077.91,1832.43,1832.43,5317.63,5317.63,7257.86,6754.84,8012.38,8407.62,9485.51,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91,10311.91
GOLDBEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-781.44,-675.84,1034.88,-1330.56,-1351.68,-1246.08,63.36,908.16,908.16,971.52,-422.4,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.08,-718.07,4402.71,2257.51,4091.32,4748.73,2984.12,3087.92,5198.52,10872.92,12049.31,15855.33,22602.32,32567.11,29556.93,32843.91,28553.52,31356.11,36061.72,34227.92,34227.92,37099.73,37099.73,62150.12,55160.93,56994.73,51458.73,52635.12,57652.11,60247.11,60108.73,69139.31,67651.53,58413.31,60281.72,64952.71,65817.71,65471.72,69623.73,69623.73,67962.92,70557.92,81318.52,92978.73,96231.11,103912.32,113461.93,124949.12,136816.93,145432.32,128132.32,127820.93,133529.91,134360.33,135363.73,150899.12,151348.91,165534.91,167057.32,172731.72,172351.11,185637.53,200653.91,200653.91,192246.11,224458.73,220791.11,231447.92,260235.15,236118.94,221829.12,164739.12,200965.33,206570.51,209857.53,214147.92,211552.92,205082.71,208023.73,230409.91,233212.5,222763.31,211241.53,211068.52,200723.13,184495.72,184495.72,184495.72,184495.72,184495.72,184495.72
HDFCSML250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-1472.35,-97.23,1430.68,-8514.56,-10514.73,-16001.27,-12153.76,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25,-10070.25
